alpha,epsilon,tau,lambda,data_model_type,data_model_name
0.50000000,0.00000000,0.00000000,0.04476852,VanillaGaussian,VanillaGaussian
0.50000000,0.20000000,0.00000000,0.04560451,VanillaGaussian,VanillaGaussian
0.50000000,0.40000000,0.00000000,0.04445664,VanillaGaussian,VanillaGaussian
0.50000000,0.60000000,0.00000000,0.04068207,VanillaGaussian,VanillaGaussian
0.50000000,0.80000000,0.00000000,0.03374779,VanillaGaussian,VanillaGaussian
2.87500000,0.00000000,0.00000000,0.00991269,VanillaGaussian,VanillaGaussian
5.25000000,0.00000000,0.00000000,0.00363750,VanillaGaussian,VanillaGaussian
2.87500000,0.20000000,0.00000000,0.00834869,VanillaGaussian,VanillaGaussian
7.62500000,0.00000000,0.00000000,0.00182096,VanillaGaussian,VanillaGaussian
7.62500000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.25000000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
2.87500000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.25000000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
2.87500000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
7.62500000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
10.00000000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
10.00000000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
10.00000000,0.00000000,0.00000000,0.00108195,VanillaGaussian,VanillaGaussian
7.62500000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
10.00000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.25000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
2.87500000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.25000000,0.20000000,0.00000000,0.00079353,VanillaGaussian,VanillaGaussian
10.00000000,0.20000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
7.62500000,0.20000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
1.00000000,0.00000000,0.00000000,0.03155766,VanillaGaussian,VanillaGaussian
2.00000000,0.00000000,0.00000000,0.01626676,VanillaGaussian,VanillaGaussian
1.00000000,0.10000000,0.00000000,0.03220607,VanillaGaussian,VanillaGaussian
1.00000000,0.05000000,0.00000000,0.03197086,VanillaGaussian,VanillaGaussian
1.00000000,0.15000000,0.00000000,0.03224114,VanillaGaussian,VanillaGaussian
3.00000000,0.00000000,0.00000000,0.00929582,VanillaGaussian,VanillaGaussian
1.00000000,0.20000000,0.00000000,0.03204862,VanillaGaussian,VanillaGaussian
2.00000000,0.10000000,0.00000000,0.01662483,VanillaGaussian,VanillaGaussian
2.00000000,0.15000000,0.00000000,0.01631250,VanillaGaussian,VanillaGaussian
2.00000000,0.05000000,0.00000000,0.01658926,VanillaGaussian,VanillaGaussian
3.00000000,0.15000000,0.00000000,0.00876756,VanillaGaussian,VanillaGaussian
3.00000000,0.05000000,0.00000000,0.00951197,VanillaGaussian,VanillaGaussian
3.00000000,0.10000000,0.00000000,0.00936861,VanillaGaussian,VanillaGaussian
2.00000000,0.20000000,0.00000000,0.01558666,VanillaGaussian,VanillaGaussian
3.00000000,0.20000000,0.00000000,0.00762166,VanillaGaussian,VanillaGaussian
3.50000000,0.25000000,0.00000000,0.00337565,VanillaGaussian,VanillaGaussian
3.50000000,0.28750000,0.00000000,0.00176686,VanillaGaussian,VanillaGaussian
5.00000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
4.25000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.00000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
3.50000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
4.25000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
3.50000000,0.32500000,0.00000000,0.00007643,VanillaGaussian,VanillaGaussian
5.00000000,0.32500000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
4.25000000,0.25000000,0.00000000,0.00092033,VanillaGaussian,VanillaGaussian
3.50000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
4.25000000,0.32500000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.00000000,0.28750000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
3.50000000,3.14722222,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian
3.50000000,3.50000000,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian
3.50000000,2.79444444,0.00000000,-0.00001000,VanillaGaussian,VanillaGaussian
3.50000000,2.44166667,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,2.08888889,0.00000000,0.00002205,VanillaGaussian,VanillaGaussian
3.50000000,1.73611111,0.00000000,-0.00000995,VanillaGaussian,VanillaGaussian
4.25000000,0.28750000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
5.00000000,0.25000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian
3.50000000,0.35000000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.34444444,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.34722222,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.34166667,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.33888889,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.33333333,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.33611111,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.32777778,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.33055556,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.32522222,0.00000000,0.00006617,VanillaGaussian,VanillaGaussian
3.50000000,0.32588889,0.00000000,0.00003538,VanillaGaussian,VanillaGaussian
3.50000000,0.32566667,0.00000000,0.00004565,VanillaGaussian,VanillaGaussian
3.50000000,0.32611111,0.00000000,0.00002511,VanillaGaussian,VanillaGaussian
3.50000000,0.32633333,0.00000000,0.00001484,VanillaGaussian,VanillaGaussian
3.50000000,0.32655556,0.00000000,0.00000453,VanillaGaussian,VanillaGaussian
3.50000000,0.32677778,0.00000000,-0.00000573,VanillaGaussian,VanillaGaussian
3.50000000,0.32544444,0.00000000,0.00005591,VanillaGaussian,VanillaGaussian
3.50000000,0.32700000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
3.50000000,0.32540000,0.00000000,0.00005796,VanillaGaussian,VanillaGaussian
3.50000000,0.32520000,0.00000000,0.00006720,VanillaGaussian,VanillaGaussian
3.50000000,0.32590000,0.00000000,0.00003487,VanillaGaussian,VanillaGaussian
3.50000000,0.32570000,0.00000000,0.00004411,VanillaGaussian,VanillaGaussian
3.50000000,0.32610000,0.00000000,0.00002562,VanillaGaussian,VanillaGaussian
3.50000000,0.32630000,0.00000000,0.00001638,VanillaGaussian,VanillaGaussian
3.50000000,0.32660000,0.00000000,0.00000247,VanillaGaussian,VanillaGaussian
3.50000000,0.32680000,0.00000000,-0.00000675,VanillaGaussian,VanillaGaussian
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian
3.50000000,0.32650000,0.00000000,0.00000716,VanillaGaussian,VanillaGaussian
3.50000000,0.32670000,0.00000000,-0.00000216,VanillaGaussian,VanillaGaussian
3.50000000,0.32750000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
0.10000000,0.00000000,0.00000000,0.05798078,VanillaGaussian,VanillaGaussian
0.52142857,0.00000000,0.00000000,0.04409832,VanillaGaussian,VanillaGaussian
0.10000000,0.10000000,0.00000000,0.05777798,VanillaGaussian,VanillaGaussian
0.52142857,0.10000000,0.00000000,0.04474153,VanillaGaussian,VanillaGaussian
0.10000000,0.20000000,0.00000000,41.06243378,VanillaGaussian,VanillaGaussian
0.94285714,0.00000000,0.00000000,0.03284877,VanillaGaussian,VanillaGaussian
0.52142857,0.20000000,0.00000000,0.04494766,VanillaGaussian,VanillaGaussian
1.36428571,0.00000000,0.00000000,0.02453923,VanillaGaussian,VanillaGaussian
0.52140000,0.00000000,0.00000000,0.04409917,VanillaGaussian,VanillaGaussian
0.94290000,0.00000000,0.00000000,0.03284778,VanillaGaussian,VanillaGaussian
1.36430000,0.00000000,0.00000000,0.02453898,VanillaGaussian,VanillaGaussian
0.52140000,0.20000000,0.00000000,0.04494854,VanillaGaussian,VanillaGaussian
1.78570000,0.00000000,0.00000000,0.01859837,VanillaGaussian,VanillaGaussian
0.52140000,0.10000000,0.00000000,0.04474238,VanillaGaussian,VanillaGaussian
0.94290000,0.10000000,0.00000000,0.03350435,VanillaGaussian,VanillaGaussian
2.20710000,0.00000000,0.00000000,0.01435976,VanillaGaussian,VanillaGaussian
2.62860000,0.00000000,0.00000000,0.01130304,VanillaGaussian,VanillaGaussian
0.94290000,0.20000000,0.00000000,0.03339744,VanillaGaussian,VanillaGaussian
3.05000000,0.00000000,0.00000000,0.00906383,VanillaGaussian,VanillaGaussian
1.36430000,0.10000000,0.00000000,0.02509818,VanillaGaussian,VanillaGaussian
1.36430000,0.20000000,0.00000000,0.02461207,VanillaGaussian,VanillaGaussian
1.78570000,0.20000000,0.00000000,0.01816985,VanillaGaussian,VanillaGaussian
2.20710000,0.10000000,0.00000000,0.01465331,VanillaGaussian,VanillaGaussian
2.20710000,0.20000000,0.00000000,0.01345624,VanillaGaussian,VanillaGaussian
2.62860000,0.10000000,0.00000000,0.01147376,VanillaGaussian,VanillaGaussian
1.78570000,0.10000000,0.00000000,0.01902502,VanillaGaussian,VanillaGaussian
3.47140000,0.00000000,0.00000000,0.00739313,VanillaGaussian,VanillaGaussian
3.89290000,0.00000000,0.00000000,0.00612347,VanillaGaussian,VanillaGaussian
3.05000000,0.10000000,0.00000000,0.00912431,VanillaGaussian,VanillaGaussian
4.31430000,0.00000000,0.00000000,0.00514215,VanillaGaussian,VanillaGaussian
2.62860000,0.20000000,0.00000000,0.00996913,VanillaGaussian,VanillaGaussian
4.73570000,0.00000000,0.00000000,0.00437099,VanillaGaussian,VanillaGaussian
3.47140000,0.10000000,0.00000000,0.00735636,VanillaGaussian,VanillaGaussian
5.15710000,0.00000000,0.00000000,0.00375611,VanillaGaussian,VanillaGaussian
3.05000000,0.20000000,0.00000000,0.00734682,VanillaGaussian,VanillaGaussian
3.89290000,0.10000000,0.00000000,0.00599982,VanillaGaussian,VanillaGaussian
5.57860000,0.00000000,0.00000000,0.00325886,VanillaGaussian,VanillaGaussian
4.31430000,0.10000000,0.00000000,0.00494096,VanillaGaussian,VanillaGaussian
6.00000000,0.00000000,0.00000000,0.00285198,VanillaGaussian,VanillaGaussian
3.47140000,0.20000000,0.00000000,0.00534336,VanillaGaussian,VanillaGaussian
4.73570000,0.10000000,0.00000000,0.00410037,VanillaGaussian,VanillaGaussian
3.89290000,0.20000000,0.00000000,0.00379350,VanillaGaussian,VanillaGaussian
5.57860000,0.10000000,0.00000000,0.00286858,VanillaGaussian,VanillaGaussian
4.31430000,0.20000000,0.00000000,0.00258835,VanillaGaussian,VanillaGaussian
5.15710000,0.10000000,0.00000000,0.00342251,VanillaGaussian,VanillaGaussian
6.00000000,0.10000000,0.00000000,0.00241003,VanillaGaussian,VanillaGaussian
4.73570000,0.20000000,0.00000000,0.00165230,VanillaGaussian,VanillaGaussian
5.15710000,0.20000000,0.00000000,0.00092915,VanillaGaussian,VanillaGaussian
5.57860000,0.20000000,0.00000000,0.00037120,VanillaGaussian,VanillaGaussian
6.00000000,0.20000000,0.00000000,-0.00000999,VanillaGaussian,VanillaGaussian
0.50000000,0.00000000,0.00000000,0.05462207,SourceCapacity,SourceCapacity_IDStudentPrior
0.50000000,0.40000000,0.00000000,0.05922356,SourceCapacity,SourceCapacity_IDStudentPrior
0.50000000,0.20000000,0.00000000,0.05708131,SourceCapacity,SourceCapacity_IDStudentPrior
0.50000000,0.60000000,0.00000000,0.06095232,SourceCapacity,SourceCapacity_IDStudentPrior
0.50000000,0.80000000,0.00000000,0.06216256,SourceCapacity,SourceCapacity_IDStudentPrior
5.25000000,0.00000000,0.00000000,0.04596681,SourceCapacity,SourceCapacity_IDStudentPrior
10.00000000,0.00000000,0.00000000,0.03013145,SourceCapacity,SourceCapacity_IDStudentPrior
5.25000000,0.20000000,0.00000000,0.04511132,SourceCapacity,SourceCapacity_IDStudentPrior
5.25000000,0.40000000,0.00000000,0.03930531,SourceCapacity,SourceCapacity_IDStudentPrior
5.25000000,0.60000000,0.00000000,0.02763114,SourceCapacity,SourceCapacity_IDStudentPrior
10.00000000,0.20000000,0.00000000,0.02727367,SourceCapacity,SourceCapacity_IDStudentPrior
5.25000000,0.80000000,0.00000000,0.01072639,SourceCapacity,SourceCapacity_IDStudentPrior
10.00000000,0.40000000,0.00000000,0.01681146,SourceCapacity,SourceCapacity_IDStudentPrior
10.00000000,0.80000000,0.00000000,-0.00000999,SourceCapacity,SourceCapacity_IDStudentPrior
0.50000000,0.00000000,0.00000000,0.00012883,SourceCapacity,SourceCapacity_PowerLawStudentPrior
0.50000000,0.80000000,0.00000000,0.01715378,SourceCapacity,SourceCapacity_PowerLawStudentPrior
